epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.7522049618721008,0.56305,0.6458836114859279,0.6004,0.001
2,0.6612098483085632,0.58765,0.6707436276387565,0.554,0.001
3,0.6464344670295715,0.61675,0.6126356509667409,0.6784,0.001
4,0.6211310707569122,0.65375,0.5681071126762824,0.7164,0.001
5,0.6014194050788879,0.67635,0.5506526571285876,0.7268,0.001
6,0.5817260120868682,0.69305,0.5225470522536507,0.7568,0.001
7,0.5666910117149353,0.7062,0.5125252038617677,0.764,0.001
8,0.5498318469047546,0.72455,0.4900737404823303,0.7752,0.001
9,0.537480815410614,0.733,0.46403005719184875,0.802,0.001
10,0.5264858550548553,0.74345,0.4727494682692274,0.7764,0.001
11,0.5228077100038528,0.7465,0.545888405434693,0.7172,0.001
12,0.5114659550666809,0.75625,0.4376437471637243,0.8128,0.001
13,0.4913016236782074,0.7674,0.4211156936008719,0.8068,0.001
14,0.4920132702827454,0.7669,0.39266262854201883,0.836,0.001
15,0.4741249177932739,0.78195,0.4302347053455401,0.8052,0.001
16,0.46456923971176145,0.787,0.4165736421754089,0.8304,0.001
17,0.4625371353149414,0.78875,0.39394346237937106,0.8336,0.001
18,0.4460530091762543,0.79615,0.3557826778556727,0.8492,0.001
19,0.43018028445243833,0.80875,0.35372425446027445,0.854,0.001
20,0.42356637341976167,0.81275,0.3656947765546509,0.8412,0.001
21,0.4195967600822449,0.81485,0.43941999764382084,0.796,0.001
22,0.41627801880836485,0.82,0.36677731083163734,0.8348,0.001
23,0.3976910111427307,0.829,0.3088737075464635,0.8812,0.001
24,0.3901080625772476,0.83165,0.29938484369953977,0.8848,0.001
25,0.3820555959701538,0.83425,0.3650033289118658,0.852,0.001
26,0.37221784279346465,0.8426,0.30286169919786576,0.8868,0.001
27,0.36082739396095276,0.8488,0.3025486088251766,0.8844,0.001
28,0.34951094790697096,0.85025,0.33122402278682855,0.8588,0.001
29,0.3378398363828659,0.8615,0.2734661156995387,0.8992,0.001
30,0.3295007557630539,0.8616,0.2527833737527268,0.9012,0.001
