epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.644581374502182,0.67335,0.4898983945574942,0.7668,0.001
2,0.45548121793270113,0.7845,0.5193777540816537,0.736,0.001
3,0.38144831981658933,0.8295,0.3816601243577426,0.8356,0.001
4,0.32253521485328673,0.8585,0.3307124806355827,0.8668,0.001
5,0.2669006298065186,0.88505,0.3652539530509635,0.8416,0.001
6,0.2369764554619789,0.89955,0.2782027889278871,0.8856,0.001
7,0.1981137209892273,0.9178,0.29718588292598724,0.8748,0.001
8,0.16400601352155209,0.9333,0.3644689358299292,0.8684,0.001
9,0.13307616400420666,0.94495,0.3398504144971884,0.8744,0.001
10,0.11018738476783037,0.95735,0.4316693871647497,0.8564,0.001
11,0.08725975866019726,0.96615,0.4174497701416287,0.8852,0.001
12,0.07578705573305487,0.9709,0.4028592339799374,0.888,0.0005
13,0.0321128519377904,0.98745,0.45545853020717636,0.9032,0.0005
14,0.020407829076907365,0.99215,0.472142480301989,0.8992,0.0005
15,0.02115563155405107,0.99225,0.5238373694776357,0.896,0.0005
16,0.017961372282653248,0.99385,0.557481842572341,0.8952,0.0005
17,0.015750323256327102,0.9942,0.6086976868395186,0.896,0.0005
18,0.016409635068028002,0.99435,0.5859894087608857,0.8936,0.00025
19,0.00621158656584048,0.9975,0.654638915428821,0.9008,0.00025
20,0.002352901219815385,0.99905,0.700158616740115,0.8996,0.00025
21,0.0026694199756885154,0.9993,0.8363644129867795,0.8956,0.00025
22,0.0047853580615501694,0.9984,0.7794868515073499,0.8976,0.00025
23,0.008175817709034482,0.9973,0.7071870535234862,0.8996,0.00025
